Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,APC,Has other fees,.,.
​​​​​​​​Infectious Diseases & Immunity,https://journals.lww.com/IDI/pages/default.aspx,https://doaj.org/toc/116237d37b5644c685bd416837b1fe19,2021,,2096-9511,2693-8839,English,Wolters Kluwer Health - Lippincott Williams Wilkins,United States,Chinese Medical Association,China,No,No,,
1991. Revista de Estudios Internacionales,https://revistas.unc.edu.ar/index.php/revesint/index,https://doaj.org/toc/c9ff24efa55d4b288f937c023374c62f,2019,,,2683-720X,Spanish,CEA Unidad Ejecutora CONICET-UNC (20730),Argentina,Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS) - Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad Nacional de Córdoba (UNC),,No,No,,
A Priori,http://www.casopisapriori.com/index.php/apriori/index,https://doaj.org/toc/8b93d3b0ebea40c4bac32e27bd4976eb,2021,,,2744-1288,"English, Serbian, Bosnian, Croatian",The Association for Promotion of Culture and Thinking Sofia,Bosnia and Herzegovina,,,No,No,,
AAOU Journal,http://www.emeraldgrouppublishing.com/services/publishing/aaouj/index.htm,https://doaj.org/toc/0c859125fe6d4f6ab67037ce91486a3a,2005,Asian Association of Open Universities Journal,1858-3431,2414-6994,English,Emerald Publishing,United Kingdom,Asian Association of Open Universities,,No,No,,
ABC Imagem Cardiovascular,https://www.abcimaging.org/,https://doaj.org/toc/05cc2353347140e88215cdba8e3dc542,2017,,2318-8219,2675-312X,"English, Portuguese",Atha Comunicação e Editora,Brazil,Brazilian Society of Cardiology,Brazil,No,No,,
ABC: časopis urgentne medicine,https://scindeks.ceon.rs/journaldetails.aspx?issn=1451-1053,https://doaj.org/toc/246b32f83c9f4d66968c9d559c59e285,2014,,1451-1053,2560-3922,"Serbian, English","Serbian Medical Society, Department of Emergency Medicine, Belgrade",Serbia,,,No,No,,
ABO : Interactive Journal for Women in the Arts 1640-1830,http://scholarcommons.usf.edu/abo/,https://doaj.org/toc/3dbcfa55ff9d4c5ba0fd4e55b203f17f,2011,Aphra Behn Online,,2157-7129,English,Aphra Behn Society,United States,,,No,No,,
Aceh Journal of Animal Science,http://jurnal.unsyiah.ac.id/AJAS/index,https://doaj.org/toc/0504e577cf4042249e8105ce2c14c81e,2016,,2502-9568,2622-8734,English,Faculty of Marine and Fisheries Universitas Syiah Kuala,Indonesia,Asian Society of Ichthyologist,,No,No,,
ACS Central Science,https://pubs.acs.org/journal/acscii,https://doaj.org/toc/2e87d85515c8477eb07d379c472c4050,2015,,,2374-7951,English,American Chemical Society,United States,,,No,No,,
Acta Angiologica,https://journals.viamedica.pl/acta_angiologica,https://doaj.org/toc/49f320c85ab44dc2b8eb6cb81facc9ea,1995,,1234-950X,1644-3276,English,VM Media sp. z o.o. VM Group sp.k. Grupa Via Medica,Poland,"Polskie Towarzystwo Chirurgii Naczyniowej; Polskie Towarzystwo Angiologiczne, Poland",Poland,No,No,,
